school,city,conc
Lunenburg/gilman Schools,Lunenburg,11.12692308
Canaan Schools,Canaan,10.56896552
Bridport Central School,Bridport,6.2
Vernon Elementary School,Vernon,15.26315789
Twin Valley Elementary School,Wilmington,212.073913
Wardsboro Elementary,Wardsboro,4.466666667
Jamaica Village School,Jamaica,9.3
Concord School,Concord,10.30909091
Twinfield Us #33,Plainfield,54.19642857
Bethel Elementary and White River Middle Schools,Bethel,14.94583333
Ludlow Elementary School,Ludlow,6.995652174
St Johnsbury School,St. Johnsbury,4.725
Derby Elementary School,Derby Line,13.5
Leland And Gray Uhs #34,Townshend,21.45454545
Rick Marcotte Central School,S. Burlington,5.6
Rochester School,Rochester,4.62
Berkshire Elementary School,Richford,27.09
Danville School,Danville,11.44090909
Vergennes Union Elementary School #44,Vergennes,2.858333333
Fisher School,Arlington,2.9
J F Kennedy Elem School and Winooski Middle School and Winooski High School,Winooski,6.5
CP Smith School,Burlington,5.37826087
Bellows Falls Middle School,Bellows Falls,57
Soar Learning Center,ST. Albans Bay,52.9125
Pownal Elementary,Pownal,9.396153846
South Royalton Elementary and White River Valley High School,South Royalton,7.2
Integrated Arts Acad At Ho Wheeler,Burlington,40
J J Flynn School,Burlington,4.655555556
Twin Valley Elementary,Wilmington,332.0344828
Hartford Mem Middle School,White River Junction,4.915384615
Poultney High School,Poultney,33.07419355
North Country Uhs #22b,Newport,120.5690323
Patricia A. Hannaford Career Center,Middlebury,23.91944444
Clarendon Elementary School,North Clarendon,64.38461538
West Rutland School,West Rutland,6.143478261
Mill River Us #40,Clarendon,9.05
Cabot School,Cabot,40.39104478
Champlain Elementary School,Burlington,18.4106383
Union Elementary School,Montpelier ,3.459090909
Brownington Central School,Brownington ,9.7
Enosburg Falls Elementary School,Enosberg Falls,7.805555556
Twin Valley Middle High School,Whitingham,21.74827586
Union Street School,Springfield,17
Montessori of Central Vermont,Barre,2.95
Rutland Town Elem School,Rutland,60.63703704
Dummerston Schools,Dummerston,40.490625
Vergennes Union High School #5,Vergennes,4.35
Cavendish Town Elementary,Proctorsville,0
Milton High School,Milton,17.07162162
Proctor Jr/sr High School,Proctor,14
Charleston Elem School,West Charleston,24.98333333
Riverside Middle School,Springfield,7.324
Alburgh Community Education Center,Alburgh,10.28571429
Rumney Memorial School (middlesex),Middlesex,9.1
Dover Elementary School,Dover,31.04
Main Street Middle School,Montpelier,6.9
St Albans Town Educ Center,St. Albans,7.326086957
North Hero School,North Hero,2.24
Warren Elementary School,"Warren, Vermont",18.9
Marlboro Elementary School,Marlboro,67.52941176
Bellows Falls Uhs #27,Westminster,108.919863
Williston Schools,Williston,43.62222222
Pacem School,Montpelier,31.925
Bellows Free Academy Middle/Hs (Fairfax),Fairfax,5.50952381
Oak Grove School,Brattleboro,16.72962963
Academy School,"Brattleboro, VT",7.138888889
Wallingford Village School,Wallingford,30.65
Mary Hogan Elementary School,Middlebury,3.881818182
Poultney Elementary School,Poultney,52.734375
Middlebury Union High School,Middlebury,19.82727273
Georgia Elem/middle School,Georgia,12.81666667
Putney Central School,Putney,4.954545455
Richford Elementary School,Richford,5.933333333
Sheldon Elementary School,Sheldon,18.78378378
Newport City Elem Schools,Newport,11.4875
Early Essential Education/Burlington Preschool Program,Burlington,2.75
Green Mountain Uhs #35,Chester,93.90315789
Hardwick Elementary School,Hardwick,26.16666667
Charlotte Central School,Charlotte,37.91666667
Proctor Elementary School,Proctor,13.92222222
Monument Elementary,Bennington,18.9
Hyde Park Elementary School,Hyde Park,35.375
Camels Hump Middle School,Richmond,29.90416667
Brighton Elementary School,Brighton,61.28571429
Barton Graded School,Barton,3.581818182
Fairfield Center School,Fairfield Center,7.508333333
Shaftsbury Elementary,Shaftsbury,9.005555556
U-32 Middle High School,Montpelier,79.27777778
Blue Mountain Us #21,Wells River,7.225
St Albans City School,St. Albans City,11.07096774
The Arlington School,Saint Johnsbury,4.98
Chester Andover Us #29,Chester,11.08125
Cold Hollow Career Center,Enosburg Falls,2.625
Saint Paul's School,Barton,37.0625
Waterford Elementary School,Waterford,8.686666667
Brighton Elementary School,Island Pond,29.18181818
